mappingDOID,geneNID,Predicted Rating,True Rating
0,223,0.9832951426506042,1.0
0,3803,0.9827619194984436,1.0
0,2242,0.978792130947113,1.0
0,2974,0.9782692790031432,1.0
0,771,0.9755514860153198,1.0
0,10260,0.9740734100341796,1.0
0,151,0.9706985354423524,1.0
0,8991,0.9699735641479492,1.0
0,1935,0.9694691300392152,1.0
0,3701,0.9654802680015564,1.0
0,2390,0.9653921127319336,1.0
0,7858,0.9634405970573424,1.0
0,10355,0.9609885215759276,1.0
0,1567,0.9606889486312866,1.0
0,4529,0.9606329202651978,1.0
0,10309,0.9569608569145204,1.0
0,174,0.9502478241920472,1.0
1,817,0.9771469235420228,1.0
1,3849,0.9758328795433044,1.0
1,1059,0.9756021499633788,1.0
1,2590,0.9720184803009032,1.0
1,10409,0.9696640372276306,1.0
1,1473,0.9676282405853271,1.0
1,8981,0.9671621918678284,1.0
1,6079,0.9671459197998048,1.0
1,7005,0.966039538383484,1.0
1,4515,0.9615004658699036,1.0
1,778,0.9614744782447816,1.0
1,434,0.9608266949653624,1.0
1,7650,0.9598199129104614,1.0
1,2657,0.9590946435928344,1.0
1,7555,0.9580206274986268,1.0
1,837,0.957364857196808,1.0
1,4792,0.9557653069496156,1.0
1,4529,0.9547277092933656,1.0
1,4106,0.9505397081375122,1.0
1,1110,0.9485586881637572,1.0
2,2707,0.9905415177345276,1.0
2,4162,0.9889411330223083,1.0
2,2010,0.988733172416687,1.0
2,5205,0.9879032969474792,1.0
2,6479,0.987498939037323,1.0
2,294,0.9874818325042723,1.0
2,4032,0.987277090549469,1.0
2,1130,0.9872099161148072,1.0
2,15868,0.9864323735237122,1.0
2,10310,0.9857816100120544,1.0
2,109,0.9857544898986816,1.0
2,11396,0.9857333898544312,1.0
2,1617,0.9856755137443542,1.0
2,7651,0.9854280352592468,1.0
2,18707,0.9854226112365724,1.0
2,1365,0.9853481650352478,1.0
2,21015,0.9850372672080994,1.0
2,5751,0.9844017624855042,1.0
2,3808,0.9842952489852904,1.0
2,1739,0.9838835597038268,1.0
2,1885,0.983873188495636,1.0
2,2167,0.9837024211883544,1.0
2,11565,0.9836426973342896,1.0
2,1887,0.9835118055343628,1.0
2,7118,0.9835106134414672,1.0
2,10524,0.9830021262168884,1.0
2,1544,0.982481062412262,1.0
2,18523,0.982417106628418,1.0
2,2642,0.9823998212814332,1.0
2,103,0.9823362231254578,1.0
2,8769,0.9822313189506532,1.0
2,5264,0.982207179069519,1.0
2,1609,0.982118844985962,1.0
2,1153,0.9821107983589172,1.0
2,8275,0.981575846672058,1.0
2,3344,0.9814280271530152,1.0
2,5802,0.9814257621765136,1.0
2,2924,0.9814199805259703,1.0
2,320,0.9813929200172424,1.0
2,2304,0.9813559651374816,1.0
2,3459,0.9813324213027954,1.0
2,3541,0.9811551570892334,1.0
2,17885,0.9807223677635192,1.0
2,3847,0.9806138277053832,1.0
2,4527,0.980498194694519,1.0
2,2881,0.9802930951118468,1.0
2,6184,0.97989159822464,1.0
2,1585,0.9795411229133606,1.0
2,8295,0.9794995188713074,1.0
2,7116,0.9790902137756348,1.0
2,1892,0.978985071182251,1.0
2,6617,0.9787997007369996,1.0
2,7428,0.9787886142730712,1.0
2,9124,0.9779942631721495,1.0
2,1154,0.9779366850852966,1.0
2,13626,0.9776086807250975,1.0
2,3524,0.9775051474571228,1.0
2,812,0.977452516555786,1.0
2,317,0.9774494767189026,1.0
2,7112,0.9773684740066528,1.0
2,13181,0.9773597121238708,1.0
2,5215,0.9770456552505492,1.0
2,5020,0.976876437664032,1.0
2,2585,0.9766430854797364,1.0
2,7579,0.975797951221466,1.0
2,184,0.9757852554321288,1.0
2,1315,0.9746083617210388,1.0
2,17833,0.9744263887405396,1.0
2,9033,0.974314272403717,1.0
2,25027,0.9741925001144408,1.0
2,3911,0.9741362929344176,1.0
2,11772,0.9736248850822448,1.0
2,1170,0.973519802093506,1.0
2,9289,0.97306627035141,0.800000011920929
2,1696,0.9726832509040833,1.0
2,3614,0.972355842590332,1.0
2,7536,0.9706485867500304,1.0
2,3087,0.9706400632858276,1.0
2,17825,0.9706339836120604,0.6666666865348816
2,12268,0.9698440432548524,1.0
2,10488,0.9689133763313292,1.0
2,15187,0.967854380607605,1.0
2,3551,0.9678386449813844,1.0
2,1155,0.96588534116745,1.0
2,12178,0.965765118598938,1.0
2,13659,0.9643574357032776,1.0
2,12495,0.9640019536018372,1.0
2,14886,0.9629841446876526,1.0
2,15316,0.9629811644554138,1.0
2,4732,0.961400866508484,1.0
2,7276,0.9612905979156494,1.0
2,4889,0.960582196712494,1.0
2,14768,0.9577810168266296,1.0
2,8646,0.9531663060188292,1.0
2,13682,0.9510745406150818,1.0
3,1459,0.980024755001068,1.0
3,6260,0.9749119877815248,1.0
3,8863,0.973350465297699,1.0
3,2590,0.9733220338821412,1.0
3,2876,0.9729665517807008,1.0
3,1102,0.972932994365692,0.0
3,2917,0.9708076119422911,0.0
3,25069,0.9658192992210388,1.0
3,2611,0.9537461996078492,1.0
3,9894,0.9157060980796814,1.0
4,4584,0.991468071937561,1.0
4,7677,0.9909693598747252,1.0
4,3218,0.9901580214500428,1.0
4,11698,0.9889522194862366,1.0
4,2058,0.9879284501075744,1.0
4,1471,0.9875341653823853,1.0
4,2293,0.987440586090088,0.957446813583374
4,4305,0.9872960448265076,1.0
4,18496,0.987218737602234,1.0
4,1517,0.987106442451477,1.0
4,13757,0.9870859980583192,1.0
4,6382,0.9866392016410828,1.0
4,294,0.9866241216659546,1.0
4,9076,0.9865468740463256,1.0
4,2860,0.9864861965179444,0.875
4,2069,0.9863293766975404,1.0
4,11147,0.9859393835067748,1.0
4,2660,0.985771656036377,1.0
4,2708,0.985684871673584,1.0
4,2535,0.9856714606285096,1.0
4,2209,0.9856675267219543,1.0
4,277,0.985470414161682,1.0
4,11944,0.9853286147117616,1.0
4,5197,0.9851987957954408,1.0
4,18426,0.985140025615692,1.0
4,6260,0.985107719898224,1.0
4,775,0.9850602746009828,1.0
4,18466,0.985034167766571,1.0
4,6149,0.9849397540092468,1.0
4,18443,0.9847608208656312,1.0
4,14239,0.9847221970558168,1.0
4,15555,0.9846764206886292,1.0
4,15407,0.984632134437561,1.0
4,10907,0.9845845103263856,1.0
4,7649,0.9843655824661256,1.0
4,8912,0.984308421611786,1.0
4,1109,0.9840978980064392,1.0
4,2680,0.9840189218521118,1.0
4,2500,0.983886420726776,1.0
4,1862,0.9838271141052246,1.0
4,796,0.9838135242462158,1.0
4,3714,0.9837491512298584,1.0
4,3615,0.983702540397644,0.9444444179534912
4,5977,0.9835824966430664,1.0
4,6203,0.983283758163452,1.0
4,21004,0.9832563400268556,1.0
4,1134,0.9832507967948914,1.0
4,8429,0.9831873774528505,1.0
4,7150,0.9830682873725892,1.0
4,3308,0.9829172492027284,1.0
4,3263,0.9827334880828856,1.0
4,3833,0.9827053546905518,1.0
4,12786,0.9826453924179076,1.0
4,4831,0.9825687408447266,1.0
4,1091,0.9824907183647156,1.0
4,4204,0.9824225902557372,1.0
4,2524,0.9823335409164428,1.0
4,1680,0.9822375178337096,1.0
4,697,0.9820583462715148,1.0
4,15811,0.9820278882980348,1.0
4,5149,0.9819499850273132,1.0
4,1444,0.9814715385437012,1.0
4,114,0.9814619421958924,1.0
4,19819,0.981403350830078,1.0
4,1655,0.9813091158866882,1.0
4,4021,0.9812993407249452,1.0
4,1652,0.9811598658561708,1.0
4,103,0.9811325669288636,1.0
4,3592,0.9810870289802552,1.0
4,2397,0.9810228943824768,1.0
4,7452,0.9809943437576294,1.0
4,10732,0.9807277917861938,1.0
4,8809,0.98031485080719,1.0
4,5304,0.980140507221222,1.0
4,809,0.9800874590873718,1.0
4,9547,0.9800792336463928,1.0
4,3994,0.9798855185508728,1.0
4,5295,0.9798380136489868,1.0
4,1810,0.9797136187553406,1.0
4,2873,0.9796926975250244,1.0
4,4844,0.979580581188202,1.0
4,12936,0.9795443415641784,1.0
4,1578,0.9795234203338624,1.0
4,4468,0.9794973134994508,1.0
4,2790,0.9794710278511048,1.0
4,5221,0.9793747067451476,1.0
4,3020,0.9793628454208374,1.0
4,12919,0.9792473912239076,1.0
4,5891,0.9784254431724548,1.0
4,5238,0.978332817554474,1.0
4,5141,0.9782826900482178,1.0
4,1370,0.9781641960144044,1.0
4,4515,0.978093922138214,1.0
4,12082,0.9780550599098206,1.0
4,9325,0.9779717922210692,1.0
4,4613,0.9777347445487976,1.0
4,2902,0.9777116775512696,1.0
4,2739,0.9776066541671752,1.0
4,2806,0.9775798916816713,1.0
4,654,0.9774673581123352,1.0
4,6617,0.9773606061935424,1.0
4,3932,0.9768822193145752,1.0
4,4719,0.97687965631485,1.0
4,724,0.9767735004425048,1.0
4,4609,0.9765976071357728,0.75
4,21817,0.9761083722114564,1.0
4,2576,0.9758707284927368,1.0
4,243,0.9757918119430542,1.0
4,6290,0.9755992293357848,1.0
4,5894,0.9755845665931702,1.0
4,4159,0.97514808177948,1.0
4,2570,0.9750351905822754,1.0
4,3070,0.9749260544776917,1.0
4,14650,0.9749140739440918,1.0
4,1009,0.974679708480835,1.0
4,17166,0.9745741486549376,1.0
4,368,0.9736788272857666,1.0
4,13071,0.9735803604125975,1.0
4,8093,0.9728004336357116,0.800000011920929
4,3914,0.9727630019187928,1.0
4,7316,0.9725244641304016,1.0
4,18525,0.9719618558883668,1.0
4,13366,0.9710097908973694,1.0
4,9053,0.9709941744804382,1.0
4,9318,0.9703471064567566,1.0
4,15042,0.9699819087982178,1.0
4,4867,0.9699180722236632,1.0
4,13484,0.9698328375816344,1.0
4,17761,0.9694873094558716,1.0
